petition_id,people,government,child,school,country,leave,public,allow,service,change,right,british,health,cause,family,support,increase,referendum,currently,parent
9036ade1c1f47d0cffca78a05d37a724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e07f8b222a943c9fc6e7b83381c0c21c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2602c7632ee1898112e644ba04a82c5e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7e7f601c78ae4361e0b9242e2937380a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30897e1285cd8b6217afef0a60b10666,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d46b00e4db852ddf25991d2a3dfbb05d,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21ff00122539e425dce200289b0ca6fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9440492339b7ec94da2fa953612955fc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c805116887ad8b91046c1e959785f472,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75e8e835257c38124b6b3cc9eb31a80d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872dda87f5b9ebe2920895fc94fbf5c4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c3cba7f74c190e703ee6b3acf9b9a822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97d4928dc72b095944d3c169066e5432,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e5486e21deee0c4c64441ba961b06bf,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
b3698798451c86607622b242087bc674,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60d243af1de817ff8a3b5ecd0f0fca36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6b9a74eb6df29017de63da27e4325e86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0059caf70749549fc885dbe686cf7452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a7daa8abc4d3c0aadd9bf2bbe7229dee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3068e1441568f2fc6c75013af261365b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6b311f15cbc6f6364ca307a4d1b4a9a7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
add05ca20110f0308393c04f7f144d7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d021f3fe491e48ca5f3279eb675b956,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2bf8415a34a260011d729baa1ab48adc,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8a448e937a0b790d3339a84c3e7babda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ad891541a40092a4a842352306918d3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7c94c6d798091fd510b7e97bbbd9462a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63674e38e4be184de171ae494debd31d,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1fdf3fd536be4d1e4d9b1fdc4e8c4630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0812f76ef69e993fab19674fe9dc0d00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6f2d7b54b927edec87ba30b41211822a,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
053cbc8c9d73183407de3b9371c3b480,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
18a6f00b58c4083662f2354bd5ce8c4b,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
